Program started.
g(n) (actual cost): 0.00, h(n) (heuristic cost): 12.00, f(n): 12.00
g(n) (actual cost): 0.52, h(n) (heuristic cost): 12.00, f(n): 12.52
g(n) (actual cost): 0.53, h(n) (heuristic cost): 11.99, f(n): 12.52
g(n) (actual cost): 0.53, h(n) (heuristic cost): 11.98, f(n): 12.52
g(n) (actual cost): 0.54, h(n) (heuristic cost): 11.98, f(n): 12.52
g(n) (actual cost): 0.54, h(n) (heuristic cost): 11.97, f(n): 12.52
g(n) (actual cost): 0.55, h(n) (heuristic cost): 11.97, f(n): 12.52
g(n) (actual cost): 0.56, h(n) (heuristic cost): 11.96, f(n): 12.52
g(n) (actual cost): 0.56, h(n) (heuristic cost): 11.95, f(n): 12.52
g(n) (actual cost): 0.57, h(n) (heuristic cost): 11.95, f(n): 12.52
g(n) (actual cost): 0.58, h(n) (heuristic cost): 11.94, f(n): 12.52
g(n) (actual cost): 0.58, h(n) (heuristic cost): 11.93, f(n): 12.52
g(n) (actual cost): 0.59, h(n) (heuristic cost): 11.93, f(n): 12.52
g(n) (actual cost): 0.60, h(n) (heuristic cost): 11.92, f(n): 12.52
g(n) (actual cost): 0.61, h(n) (heuristic cost): 11.91, f(n): 12.52
g(n) (actual cost): 0.61, h(n) (heuristic cost): 11.90, f(n): 12.52
g(n) (actual cost): 0.62, h(n) (heuristic cost): 11.89, f(n): 12.52
g(n) (actual cost): 0.63, h(n) (heuristic cost): 11.88, f(n): 12.52
g(n) (actual cost): 0.64, h(n) (heuristic cost): 11.88, f(n): 12.52
g(n) (actual cost): 0.65, h(n) (heuristic cost): 11.87, f(n): 12.52
g(n) (actual cost): 0.67, h(n) (heuristic cost): 11.85, f(n): 12.52
g(n) (actual cost): 0.68, h(n) (heuristic cost): 11.83, f(n): 12.52
g(n) (actual cost): 0.69, h(n) (heuristic cost): 11.82, f(n): 12.52
g(n) (actual cost): 0.71, h(n) (heuristic cost): 11.81, f(n): 12.52
g(n) (actual cost): 0.72, h(n) (heuristic cost): 11.80, f(n): 12.52
g(n) (actual cost): 0.73, h(n) (heuristic cost): 11.79, f(n): 12.52
g(n) (actual cost): 0.74, h(n) (heuristic cost): 11.77, f(n): 12.52
g(n) (actual cost): 0.76, h(n) (heuristic cost): 11.76, f(n): 12.52
g(n) (actual cost): 0.77, h(n) (heuristic cost): 11.75, f(n): 12.52
g(n) (actual cost): 0.78, h(n) (heuristic cost): 11.74, f(n): 12.52
g(n) (actual cost): 0.80, h(n) (heuristic cost): 11.72, f(n): 12.52
g(n) (actual cost): 0.81, h(n) (heuristic cost): 11.70, f(n): 12.52
g(n) (actual cost): 0.83, h(n) (heuristic cost): 11.68, f(n): 12.52
g(n) (actual cost): 0.85, h(n) (heuristic cost): 11.67, f(n): 12.52
g(n) (actual cost): 0.86, h(n) (heuristic cost): 11.65, f(n): 12.52
g(n) (actual cost): 0.88, h(n) (heuristic cost): 11.64, f(n): 12.52
g(n) (actual cost): 0.89, h(n) (heuristic cost): 11.62, f(n): 12.52
g(n) (actual cost): 0.92, h(n) (heuristic cost): 11.60, f(n): 12.52
g(n) (actual cost): 0.94, h(n) (heuristic cost): 11.58, f(n): 12.52
g(n) (actual cost): 0.96, h(n) (heuristic cost): 11.56, f(n): 12.52
g(n) (actual cost): 0.98, h(n) (heuristic cost): 11.54, f(n): 12.52
g(n) (actual cost): 1.00, h(n) (heuristic cost): 11.52, f(n): 12.52
g(n) (actual cost): 1.01, h(n) (heuristic cost): 11.50, f(n): 12.52
g(n) (actual cost): 1.03, h(n) (heuristic cost): 11.48, f(n): 12.52
g(n) (actual cost): 1.06, h(n) (heuristic cost): 11.46, f(n): 12.52
g(n) (actual cost): 1.08, h(n) (heuristic cost): 11.44, f(n): 12.52
g(n) (actual cost): 1.11, h(n) (heuristic cost): 11.41, f(n): 12.52
g(n) (actual cost): 1.13, h(n) (heuristic cost): 11.38, f(n): 12.52
g(n) (actual cost): 1.16, h(n) (heuristic cost): 11.35, f(n): 12.52
